years,team_a,team_b,score_a,score_b,pk_a,pk_b
1930,France,Mexico,4,1,0,0
1930,Argentina,France,1,0,0,0
1930,Chile,Mexico,3,0,0,0
1930,Chile,France,1,0,0,0
1930,Argentina,Mexico,6,3,0,0
1930,Argentina,Chile,3,1,0,0
1930,Yugoslavia,Brazil,2,1,0,0
1930,Yugoslavia,Bolivia,4,0,0,0
1930,Brazil,Bolivia,4,0,0,0
1930,Romania,Peru,3,1,0,0
1930,Uruguay,Peru,1,0,0,0
1930,Uruguay,Romania,4,0,0,0
1930,United States,Belgium,3,0,0,0
1930,United States,Paraguay,3,0,0,0
1930,Paraguay,Belgium,1,0,0,0
1930,Argentina,United States,6,1,0,0
1930,Uruguay,Yugoslavia,6,1,0,0
1930,Uruguay,Argentina,4,2,0,0
1934,Sweden,Argentina,3,2,0,0
1934,Austria,France,3,2,0,0
1934,Germany,Belgium,5,2,0,0
1934,Spain,Brazil,3,1,0,0
1934,Hungary,Egypt,4,2,0,0
1934,Switzerland,Netherlands,3,2,0,0
1934,Italy,United States,7,1,0,0
1934,Czechoslovakia,Romania,2,1,0,0
1934,Czechoslovakia,Switzerland,3,2,0,0
1934,Germany,Sweden,2,1,0,0
1934,Italy,Spain,1,1,0,0
1934,Austria,Hungary,2,1,0,0
1934,Italy,Spain,1,0,0,0
1934,Italy,Austria,1,0,0,0
1934,Czechoslovakia,Germany,3,1,0,0
1934,Germany,Austria,3,2,0,0
1934,Italy,Czechoslovakia,2,1,0,0
1938,Hungary,Dutch East Indies,6,0,0,0
1938,France,Belgium,3,1,0,0
1938,Italy,Norway,2,1,0,0
1938,Brazil,poland,6,5,0,0
1938,Czechoslovakia,Netherlands,3,0,0,0
1938,Argentina,Sweden,3,0,0,0
1938,Cuba,Romania,2,1,0,0
1938,Germany,Switzerland,2,4,0,0
1938,Switzerland,Hungary,0,2,0,0
1938,Sweden,Cuba,8,0,0,0
1938,France,Italy,1,3,0,0
1938,Brazil,Czechoslovakia,2,1,0,0
1938,Hungary,Sweden,5,1,0,0
1938,Italy,Brazil,2,1,0,0
1938,Sweden,Brazil,2,4,0,0
1938,Hungary,Italy,2,4,0,0
1950,Brazil,Mexico,4,0,0,0
1950,Yugoslavia,Switzerland,3,0,0,0
1950,Brazil,Switzerland,2,2,0,0
1950,Yugoslavia,Mexico,4,1,0,0
1950,Brazil,Yugoslavia,2,0,0,0
1950,Switzerland,Mexico,2,1,0,0
1950,England,Chile,2,0,0,0
1950,Spain,United States,3,1,0,0
1950,Spain,Chile,2,0,0,0
1950,United States,England,1,0,0,0
1950,Spain,England,1,0,0,0
1950,Chile,United States,5,2,0,0
1950,Sweden,Italy,3,2,0,0
1950,Sweden,Paraguay,2,2,0,0
1950,Italy,Paraguay,2,0,0,0
1950,Uruguay,Bolivia,8,0,0,0
1950,Uruguay,Spain,2,2,0,0
1950,Brazil,Sweden,7,1,0,0
1950,Brazil,Spain,6,1,0,0
1950,Uruguay,Sweden,3,2,0,0
1950,Sweden,Spain,3,1,0,0
1950,Uruguay,Brazil,2,1,0,0
1954,Brazil,Mexico,5,0,0,0
1954,Yugoslavia,France,1,0,0,0
1954,Brazil,Yugoslavia,1,1,0,0
1954,France,Mexico,3,2,0,0
1954,West Germany,Turkey,4,1,0,0
1954,Hungary,South Korea,9,0,0,0
1954,Hungary,West Germany,8,3,0,0
1954,Turkey,South Korea,7,0,0,0
1954,West Germany,Turkey,7,2,0,0
1954,Uruguay,Czechoslovakia,2,0,0,0
1954,Austria,Scotland,1,0,0,0
1954,Austria,Czechoslovakia,5,0,0,0
1954,Uruguay,Scotland,7,0,0,0
1954,England,Belgium,4,4,0,0
